部門 問題
勞動部勞動力發展署 事業單位因故須資遣員工，如何辦理資遣通報？
勞動部勞動力發展署 怎麼繳納就業安定費？
勞動部勞動力發展署 培力就業計畫促進社會創新發展之效益為何?
勞動部勞動力發展署 請問家庭看護工申請資格及流程為何?
勞動部勞動力發展署 重新招募外籍家庭看護工免經醫療評估機制-常見問題說明
勞動部勞動力發展署 按日辦理主動離境備查常見問題
勞動部勞動力發展署 雇主聘僱外國人從事家庭看護工作及家庭幫傭聘前講習常見問題
勞動部勞動力發展署 就業安定費帳單地址怎麼變更？
勞動部勞動力發展署 外籍家庭看護工工作期間累計至14年評點制常見問題
勞動部勞動力發展署 何謂雇主聘前講習？
勞動部勞動力發展署 因應就業服務法第58條修正Q&A
勞動部勞動力發展署 如對就業安定費計費/滯納金有疑義，要怎麼辦？
勞動部勞動力發展署 自然人核退溢繳就業安定費，有哪些方式？
勞動部勞動力發展署 法人核退溢繳就業安定費檢附文件為何？
勞動部勞動力發展署 調整就業安定費繳納數額為何？要如何申請？
勞動部勞動力發展署 是否可以約定定期扣繳就業安定費？
勞動部勞動力發展署 就業安定費是算到哪一天？
勞動部勞動力發展署 移工已經被仲介帶走，是不是不用再繳交就業安定費？
勞動部勞動力發展署 重新招募免評機制，其適用對象為何？
勞動部勞動力發展署 重新招募免評申請流程為何？
勞動部勞動力發展署 重新招募免評雇主申請時，需向長期照顧中心及勞動部提供哪些證明文件？
勞動部勞動力發展署 重新招募免評是否為放寬引進移工資格?
勞動部勞動力發展署 就業服務法第48條之1，所指雇主第1次聘僱移工的定義為何？
勞動部勞動力發展署 如何參加聘前講習？
勞動部勞動力發展署 何謂重新招募外籍家庭看護工免評機制?
勞動部勞動力發展署 請問期滿續聘如何申請?
勞動部勞動力發展署 申請增聘外籍家庭看護工人數，應具備那些證明文件？
勞動部勞動力發展署 被看護者可否自己申請外籍家庭看護工？
勞動部勞動力發展署 移工精神不好，已送返，剩下半年可否遞補?
勞動部勞動力發展署 遺失或未收到核准函如何申請補發？須多久時間？
勞動部勞動力發展署 調派工作地點之申請書?
勞動部勞動力發展署 申請調派是否可與聘僱許可同時申請，或是那一項先申請？
勞動部勞動力發展署 移工接替工作期限太短，不易引進，如何辦理？
勞動部勞動力發展署 移工遞補名冊正本遺失如何辦理？
勞動部勞動力發展署 原申請五名勞工，其中有一名離開，已經申請遞補函，遞補移工入境後，因健檢不合格出境，是否可再申請遞補?
勞動部勞動力發展署 製造業有兩個工廠同在一個工業區，目前乙廠之登記已在申請尚未核准，甲廠之移工可否到乙廠工作？如果一定要事先報備無乙廠之登記證可否？
勞動部勞動力發展署 移工遞補進來，所工作的期限是3年還是補前一名移工所剩的期限？
勞動部勞動力發展署 就業安定費都已經繳清了，為何還是收到滯納金？
勞動部勞動力發展署 就業安定費何時寄帳單？何時繳交？逾期繳交會有甚麼問題？
